#Doc №	Subject	Source	Date
L2/00-282	Proposed glyph fixes for Ethiopic pages in ISO/IEC 10646-1:2000	Michael Everson	2000-08-25
L2/00-283	DNSII Multilingual Domain Name Resolution	Chang, Leung	2000-08-01
L2/00-284	Proposal for the addition of 14 Korean Alphabets to 10646-1	DPRK Korea; SC2/WG2 N2243	2000-08-10
L2/00-285	Proposal for the addition of 82 Symbols to 10646-1	DPRK Korea; SC2/WG2 N2244	2000-08-10
L2/00-286	Proposal to change existing name of Korean characters in 10646-1 (SC2 N3465)	DPRK Korea; SC2/WG2 N2245	2000-08-10
L2/00-287	Evidence for arrangement of Korean characters (SC2 N3464)	DPRK Korea; SC2/WG2 N2246	2000-08-10
L2/00-288	Canonicalization Model for internationalized DNS	Mark Davis	2000-08-28
L2/00-289	Proposal to add the Hanja column of DPR Korea to 10646-1	DPRK Korea; SC2/WG2 N2247	2000-08-10
L2/00-290	Proposal for encoding Xinshuang Banna Dai script on BMP	China; SC2/WG2 N2242	2000-08-27
L2/00-291	Everson comments to Korean proposals	Michael Everson	2000-08-30
L2/00-292	Proposal to add 8 recycling characters to the UCS	Michael Everson; SC2/WG2 N2240	2000-08-27
L2/00-293	Proposal to add 6 Egyptological characters to the UCS	Michael Everson; SC2/WG2 N2241	2000-08-27
L2/00-294	Draft 14651 CTT tailoring delta for DPRK	Kent Karlsson; SC2/WG2 N2249	2000-08-31
L2/00-295	Thoughts about the future of SC22/WG20 (personal contribution to SC22 plenary in Nara)	Arnold F. Winkler; SC22/WG20 N773	2000-08-30
L2/00-296	Circled numbers in JIS X 0213	Japan, Sato; SC2/WG2 N2256	2000-09-04
L2/00-297	JIS X 0213 symbols – part 1	Japan, Sato; Sc2/WG2 N2257	2000-09-04
L2/00-298	JIS X 9213 symbols – part 2	Japan, Sato; SC2/WG2 N2258	2000-09-04
L2/00-299	Addition of New Source information on CJK ideographs	Japan, Sato; SC2/WG2 N2259	2000-09-04
L2/00-300	Technical discussion regarding the future of SC22/WG20	Ken Whistler; SC22/WG20 N774	2000-09-01
L2/00-301	Summary of Voting on subdivision for Amendment 1 to ISO/IEC 10646-1 - Encoding space limitations and repertoire additions	SC2 N3468; SC2/WG2 N2262	2000-09-04
L2/00-302	Report from the APL working group meeting in Berlin, July 2000 [ rename APL characters ]	Lee Dickey; SC2/WG2 N2260	2000-09-02
L2/00-303	Synchronization of Bengali coded character set national standard and ISO 10646-1 on character U+09BA, KHANDATA	Bangladesh; SC2/WG2 N2261	2000-08-23
L2/00-304	Proposal Summary Form for character U+09BA, KHANDATA	Bangladesh; SC2/WG2 N2261-1	2000-08-23
L2/00-305	Copy of national Bengali Coded Character set standard BDS 1500: 2000. (1.6 MB !)	Bangladesh; SC2/WG2 N2261-2	2000-01-01
L2/00-306	A National Standards Strategy for the USA	Stephen P. Oksala	2000-09-06
L2/00-307	Reactions to "Future of SC22/WG20" (L2/00-295) (August 30 – September 6, 2000)	E-mails pro & con	2000-09-06
L2/00-308	More reactions to "Future of SC22/WG20" (September 7 and later …)	E-mails pro & con	2000-09-13
L2/00-309	Revised glyphs for "Old Italic"	Everson	2000-09-10
L2/00-310	Revised agenda #3 for SC2/WG2 in Athens (link to WG2 N2255)	SC2/WG2 N2255	2000-09-06
L2/00-311	Request for Liaison between SC 36 and SC 2 - Resolutions of the SC 36 Plenary Meeting held in March 2000	SC2 N3469; SC36 N0016	2000-03-17
L2/00-312	Report of the Registration Authority for ISO 2375 to the Tenth SC 2 Plenary Meeting to be held in Athens, Greece, 2000-09-25/26	IPSJ / ITSCJ; SC2 N3470	2000-09-06
L2/00-313	Summary of Voting on SC 2 N 3437, ISO/IEC FCD 6937, Coded graphic character set for text communication - Latin alphabet (Revision of ISO/IEC 6937:1994)	SC2 N3474	2000-09-12
L2/00-314	Draft SC 2 Business Plan to the JTC 1 Tromsø Meeting	SC2 Chairman; SC2 N3472	2000-09-13
L2/00-315	Registration confirmation for #230 – Turkmen	Registration authority	2000-09-14
L2/00-316	Resolutions from the SC22 plenary in Nara September 2000	SC22 N3178	2000-09-15
L2/00-317	Resolutions from the SC2/WG2 meeting in Athens September 2000 (revised)	SC2 N3489R; SC2/WG2 N2254R	2000-10-11
L2/00-318	Minutes of the SC2/WG2 meeting in Athens September 2000 (see L2/01-050)	SC2/WG2 N2353	2001-01-21
L2/00-319	Resolutions from the SC2/WG3 meeting in Athens September 2000	SC2 N3477	2000-09-20
L2/00-320	Resolutions from the SC2 meeting in Athens September 2000 (corrected 2000-10-18)	SC2 N3492	2000-09-27
L2/00-321	Recommendations from the CLAUI meeting in France, October 18, 2000	CLAUI meeting; JTC1 N6336	2000-10-19
L2/00-322	Agenda for the UTC meeting in San Diego	Lisa Moore	2000-10-26
L2/00-323	Motions from the UTC meeting in San Diego	Lisa Moore	2000-12-27
L2/00-324	Minutes from the UTC meeting in San Diego	Lisa Moore	2000-12-27
L2/00-325	Agenda for L2/UTC meeting in San Diego	Arnold Winkler	2000-10-19
L2/00-326	Minutes from the L2/UTC meeting in San Diego	Arnold Winkler	2000-11-10
L2/00-327	Working draft of tables and character names for proposed amendment #1 to 10646-1:2000	Whistler, Freytag; SC2/WG2 N2263	2000-09-15
L2/00-328	Proposal for encoding Thaana letter Naa in the BMP	Ken Whistler; SC2/WG2 N2264	2000-09-15
L2/00-329	Proposal for terminal graphic symbols in the BMP	Ken Whistler; SC2/WG2 N2265	2000-09-15
L2/00-330	Diacritics for medieval studies	Küster, Wojtovicz; SC2/WG2 N2266	2000-09-14
L2/00-331	SC2/WG2 program of work	SC2/WG2 N2267	2000-09-18
L2/00-332	SOFT HYPHEN and some other characters	Kent Karlsson; SC2/WG2 2268	2000-09-15
L2/00-333	ROK’s comments to DPRK’s proposal in N2231, N2243-2247, N2193, N2056	Kyongsok KIM; SC2/WG2 N2269	2000-09-13
L2/00-334	Updated CJK compatibility ideographs set from TCA	Tseng, Shih-shyeng; SC2/WG2 N2270	2000-09-15
L2/00-335	Proposal to amend 2 source code changes in BMP CJK unified ideograph block	Tseng, Shih-shyeng; SC2/WG2 N2271	2000-09-15
L2/00-336	On the requirements for alphanumeric fonts for mathematical use	Asmus Freytag; SC2/WG2 N2272	2000-09-15
L2/00-337	JIS compatibility ideographs	SC2/WG2 N2273	2000-09-19
L2/00-338	WD of tables and character names for editorial correction to Khmer for 10646-1:2000	Unicode; SC2/WG2 N2274	2000-09-19
L2/00-339	Liaison statement on IETF matters (SC2 N3476)	Keld Simonsen; SC2/WG2 N2275	2000-09-18
L2/00-340	Summary of voting on SC2 N3442 – CD 10646-2 (1275 kB)	SC2 N3475; SC2/WG2 N2276	2000-09-20
L2/00-341	Addition of reserved characters for internal processing uses (in ISO 10646-1:2000)	SC2/WG2 N2277	2000-09-19
L2/00-342	Ad hoc Report on Japan feedback N2257 and N2258	SC2/WG2 N2278; ; 2000-09-20	1972-01-01
L2/00-343	Response to APL Working Group (JTC 1/SC 22/WG 3)	Ed Hart; SC2/WG2 N2283	2000-09-22
L2/00-344	Instructions for PDAM 1 to ISO/IEC 10646-1:2000	Michael Everson; SC2/WG2 N2285	2000-09-25
L2/00-345	SuperCJK , Version 11.0 with Kangxi & HYD Data	Zhang Zhoucai; SC2/WG2 N2287	2000-09-14
L2/00-346	Draft PDAM text for Amendment 1 to ISO/IEC 10646-1:2000	Michael Everson; SC2/WG2 N2291	2000-09-25
L2/00-347	Report on Tai Le (Dehong Dai) script	SC2/WG2 N2292	2000-09-25
L2/00-348	WG2 Report to the tenth SC2 plenary meeting in Athens, Greece	Mike Ksar; SC2/WG2 N2248	2000-09-26
L2/00-349	Draft 14651 CTT tailoring delta for D.P.R. Korea	Kent Karlsson; SC2/WG2 N2249R	2000-10-05
L2/00-350	Disposition of comments to FCD 10646-2	Suignard, SC2 N3486	2000-10-04
L2/00-351	Information on ISO/TC 125 – Health Informatics	SC2 N3487	2000-10-02
L2/00-352	Call for NB nominations of research organizations / Universities who can help SC2 development	SC2 N3493	2000-10-03
L2/00-353	Draft for Gothic (Archaic European Scripts)	Michael Everson	2000-10-12
L2/00-354	Proposal for addition to Arabic repertoire	Mark Davis; Kamal Mansour	2000-10-12
L2/00-355	Comments on ISO PDTR 14652	Markus Kuhn	2000-10-12
L2/00-356	FDIS text for ISO/IEC 10646-2 (728 kB)	Michel Suignard; SC2/WG2 N2279	2000-09-19
L2/00-357	New draft for Philippine script with block introduction	Michael Everson	2000-10-16
L2/00-358	Revised draft for Gothic script with block intro	Michael Everson	2000-10-16
L2/00-359	ICU-Mapping for GB 18030 (will not be distributed)		1972-01-01
L2/00-360	Final draft of tables and character names for editorial corrigenda of ISO/IEC 10646-1:2000	Asmus Freytag; SC2/WG2 N2290	2000-10-16
L2/00-361	Proposal for encoding Dehong Dai script on the BMP of ISO/IEC 10646	China; SC2/WG2 N2239R	2000-08-08
L2/00-362	Proposal for encoding Xinshuang Banna Dai script on the BMP of ISO/IEC 10646	China; SC2/WG2 N2242R	2000-08-27
L2/00-363	Liaison report from the Unicode consortium	SC2/WG2 N2288	2000-09-22
L2/00-364	Final SC2 business plan for the JTC1 in Tromsø	SC2 N3495	2000-10-17
L2/00-365	Notice of publication: ISO/IEC 10646-1:2000	SC2 N3496	2000-10-17
L2/00-366	Graphic roadmap to Plane 0 of the UCS (SC2/WG2 N2313, N2214, N2215, N2216)	Michael Everson; SC2 N3494	2000-10-01
L2/00-367	Proposed JTC 1/SC 2 Program of Work Modification	JTC1 N6329	2000-10-19
L2/00-368	Draft Unicode TR #24 – Script Names	Mark Davis	2000-10-27
L2/00-369	WG2 in Vouliagmeni (Athens) - report	Ken Whistler	2000-10-06
L2/00-370	UTC action on malformed/illegal UTF-8 sequences	Ed Hart	2000-10-23
L2/00-371	UTC action on malformed/illegal UTF-8 sequences	Ken Whistler	2000-10-19
L2/00-372	UTF-8 security issues (compendium)	Ed Hart	2000-10-24
L2/00-373	UTC action on malformed/illegal UTF-8 sequences	Kent Karlsson	2000-10-24
L2/00-374	UTF-8 and "Non Shortest Form" (Revision 2) (for a newer version see L2/00-414)	Mark Davis	2000-10-25
L2/00-375	Comments on agenda item “Script Names”	Ken Whistler	2000-10-09
L2/00-376	Browsing and Matching – scooping	Mark Küster	2000-10-26
L2/00-377	Letter from T.K. Sato to Mr. Zhang (IRG) Feedback on SC2/WG2 N2271 (TCA)	T.K. Sato; SC2/WG2 N2294	2000-10-27
L2/00-378	Feedback from Japan on SC2/WG2 N2281, CJK compatibility	T.K. Sato ; SC2/WG2 N2295	2000-10-26
L2/00-379	Script Names TR	Mark Davis	2000-10-27
L2/00-380	Draft ISO 15897 – Registry for cultural elements	Keld Simonsen	2000-10-25
L2/00-381	Resolutions from SC22/WG20 meeting in Malvern, October 30 – November 1, 2000	SC22/WG20 N785	2000-11-01
L2/00-382	Single Unix Specification Liaison Report	Sandra Martin; O’Donnell	2000-11-01
L2/00-383	WG20 response to resolution 00-08 from the SC22 plenary in Nara – the future of WG20	WG20 N797	2000-10-31
L2/00-384	Proposals regarding recommendations Sophia 7-11 from the CLAUI report (JTC1 N6336)	WG20 N798	2000-10-30
L2/00-385	WG20 liaison reports from and to WG4 (COBOL)	WG20 N793, N799	2000-10-31
L2/00-386	Draft document for ISO/IEC 15435 – API	Keld Simonsen	2000-10-26
L2/00-387	Proposed changes to PropList.txt	Whistler, Davis	2000-10-27
L2/00-388	Links to Unicode character data base in XML	Mark Davis	2000-10-27
L2/00-389	ISO/IEC FDIS 8601 – Representation of dates and times	ISO/TC 154	2000-10-05
L2/00-390	Case folding (for agenda in San Diego)	Mark Davis	2000-11-03
L2/00-391	Clarification of terms relating to surrogates and supplementary characters	Mark Davis	2000-11-03
L2/00-392	Normative status of UCD fields	Mark Davis	2000-11-03
L2/00-393	Language identification and IT	Constable, Simons	2000-09-06
L2/00-394	Unicode character data base (UCD) in XML format	Mark Davis	2000-10-16
L2/00-395	UTR #21 – Case mapping (version 4.3)	Mark Davis	2000-10-28
L2/00-396	Case folding properties table CaseFolding-3.d2.alpha.txt	Unicode	2000-11-03
L2/00-397	Accessing the ISO/IEC 10646-1:2000 CD-ROM	Everson, N2296	2000-11-04
L2/00-398	Cuneiform: From Clay Tablet to Computer	Dean Snyder	2000-11-07
L2/00-399	Indian script code for information interchange ISCII (paper only)	IS 13194	1991-01-01
L2/00-400	Problems with the Tamil Block Description	Michael Kaplan	2000-11-07
L2/00-401	Draft UTR #23 – Character property model (draft)	Asmus Freytag	2000-11-08
L2/00-402	Draft UTR #22 – Character mapping tables	Mark Davis	2000-01-01
L2/00-403	Analysis of GB 18030 mappings	Ken Whistler	2000-06-19
L2/00-404	Proposal for Asomtavruli, Nuskhuri, and Mkhedruli Georgian (540 kB)	Tarkhan-Mouravi	2000-10-30
L2/00-405	Visual order in Indic Languages	Michael Kaplan	2000-11-07
L2/00-406	Why does Unicode need revision for Indic scripts ? (1.7 MB)	S.P.Mudur, India	1972-01-01
L2/00-407	Language Technology Flash (India) (1.35 MB)	TDIL, (Om Vikas)	1972-01-01
L2/00-408	Unicode Character Database in XML, (UCD-main.xml)	Mark Davis	2000-11-08
L2/00-409	Unicode support for mathematics (as distributed in San Diego)	Beeton, Freytag; Sargent III	2000-11-12
L2/00-410	New Unicode 3.2 code charts	Asmus Freytag	2000-11-16
L2/00-411	Coptic – resolutions from the meeting in Leiden, September 2, 2000	Prof. Stephen Emmel	2000-09-02
L2/00-412	Special mathematical operators used in plain-text mathematical expressions	Murray Sargent III	2000-11-08
L2/00-413	Registration of Charset and Languages Media Features Tags	IETF RFC 2987	2000-11-01
L2/00-414	UTF-8 and “Non-Shortest Form” (Revision 3) replacing L2-00-374R2	Mark Davis	2000-11-15
L2/00-415	Summary, explanations, and remarks about GB 18030:2000	Dirk Meyer, comments by Lunde, Scherer	2000-10-13
L2/00-416	LACE: Length-based ASCII Compatible Encoding for IDN (IETF Internet draft)	Mark Davis; Paul Hoffman	2000-11-06
L2/00-417	Unicode representation of Indian Scripts (1.3 MB)	M.N. Cooper	1972-01-01
L2/00-418	Resolutions from the JTC1 plenary in Tromsø	JTC1 N6349	2000-11-10
L2/00-419	Legacy cuneiform font implementations and the ICE project	Michael Everson; SC2/WG2 N2297	2000-11-20
L2/00-420	Proposal for additional 14 Dingbats (see L2/00-436)	Sairus Patel	2000-11-21
L2/00-421	Response to Japanese Query re IPA tone letters	Ken Whistler; SC2/WG2 N	2000-11-27
L2/00-422	Proposal for a Taxonomy for CEN/TC304 - ICT - European Localization Requirements	Keld Simonsen	2000-11-24
L2/00-423	Proposal to add LATIN CAPITAL LETTER N WITH LONG RIGHT LEG to the UCS	Michael Everson; SC2/WG2 N2306R	2000-11-29
L2/00-424	Proposed Modifications to the SC 22 Programme of Work	SC22 secretariat; JTC1 N6345	2000-11-02
L2/00-425	Assessment of cultural and linguistic adaptability in software and hardware products – Test method	SC35 N200; JTC1 N6359	2000-11-21
L2/00-426	Ballot: PDAM Text and Charts for Amendment 1 to ISO/IEC 10646-1:2000, Mathematical symbols and other characters (>1 MB)	Michel Suignard; SC2/WG2 N2308; SC2 N3503	2000-11-29
L2/00-427	Hebrew cantillation marks and their encoding (was linked to lrz-muenchen.de)	Helmut Richter	2000-12-06
L2/00-428	Ballot: Revised Text for FDIS 8859-16: Latin alphabet No. 10	Michael Everson; SC2 N3504	2000-12-07
L2/00-429	Comments to Ken Whistler’s explanation on “ Errors in tables and data (Hebrew diacritics)”	Helmut Richter	2000-12-07
L2/00-430	Text for CD ballot: ISO/IEC CD 2375.2, Information technology -- Procedure for registration of escape sequences and coded character sets	SC2 N3503; Everson, Aliprand,; Hart	2000-12-11
L2/00-431	ISO/IEC JTC 1/SC35/WG 5 New Work Item Proposal for Guidelines for drafting ISO/IEC standards respecting cultural and linguistic adaptability principles	SC35/WG4; JTC1 N6360	2000-12-12
L2/00-432	L2 comments regarding the SC22 program of work in JTC1 N6345 (L2/00-424)	NCITS/L2; Ken Whistler	2000-12-11
L2/00-433	ISO/IEC JTC 1/SC35/WG 3 New Proposal for a Technical Report on Framework for user interfaces standards	SC35/WG3; JTC1 N6361	2000-12-12
L2/00-434	Revised Text for ISO/IEC FDIS 10646-2, -- Part 2: Supplementary Planes (was linked to SC2 N3506)	Project editor; SC2 N3506	2000-12-13
L2/00-435	UTR #20: Unicode in XML and other markup languages (version 5)	Martin Dürst (W3C); Asmus Freytag	2000-12-15
L2/00-436	Revised proposal for additional Dingbats (based on L2/00-420)	Sairus Patel	2000-12-19
L2/00-437	Ethnologue discussion	Sandra O’Donnell	2000-12-13
L2/01-001	Complete document register for 2000	Winkler	2001-01-23
L2/01-002	NCITS membership fees 2001	NCITS	2000-12-20
L2/01-003	Calling notice and preliminary agenda for WG2 meeting #40 in Mountain View, April 2-5, 2001	Mike Ksar; SC2/WG2 N2305	2000-12-19
L2/01-004	The impact of normalization – add U+FB1D to the Composition Exclusion list	Martin Dürst	2000-12-20
L2/01-005	Background information on Recycling Symbols	Everson, Freytag; SC2/WG2 N2310	2000-12-22
L2/01-006	Reply to Georgian State Department of Information Technology	Lisa Moore, UTC	2000-12-22
L2/01-007	Encoding Iranian Scripts in Unicode, Iranianist meeting report from Paris	Carl-Martin Bunz	2000-12-21
L2/01-008	Arguments for adding U+FB1D to the Composition Exclusion list	Peter Constable	2000-12-22
L2/01-009	Agenda item Cn category definition with comments from Ken Whistler	Mark Davis; Ken Whistler	2000-12-29
L2/01-010	Agenda UTC #86 in Mountain View, Jan 2001	Lisa Moore	2001-01-12
L2/01-011	Motions UTC #86 in Mountain View, Jan 2001	Lisa Moore	2001-02-11
L2/01-012	Minutes UTC #86 in Mountain View, Jan 2001	Lisa Moore	2001-02-07
L2/01-013	Action items before Mountain View, Jan 2001	Moore,  Winkler	2001-01-03
L2/01-014	Agenda L2 #183 in Mountain View, Jan 2001	Arnold Winkler	2000-12-27
L2/01-015	Minutes L2 #183 in Mountain View, Jan 2001	Arnold Winkler	2001-02-07
L2/01-016	Action items after Mountain View, Jan 2001	Arnold Winkler	2001-02-12
L2/01-017	Invitation letter to the government of Tami Nadu for the UTC meeting in Mountain View (January 2001)	Lisa Moore	2001-01-03
L2/01-018	NCITS data base for committee use – information	Monica Vago	2001-01-04
L2/01-019	Helping NCITS in identifying “families of related standards” for publication on one CD	Arnold Winkler	2001-01-05
L2/01-020	General category for Non-characters	Mark Davis	2001-01-08
L2/01-021	Proposal for the Taxonomy of CEN/TC304 - ICT- European Localization Requirements	Keld Simonsen; CEN/TC304 N960	2000-11-24
L2/01-022	Matching and browsing – scooping; (Text in Word format for commenting – 01-022)	Mark Küster; CEN/TC304 N962	2001-01-09
L2/01-023	Ordering the Runic script (revised)	Michael Everson; SC22/WG20 N809R	2001-01-09
L2/01-024	Roadmapping early Semitic scripts	Michael Everson; SC2/WG2 N2311	2001-01-09
L2/01-025	Presentation of tone contours encoded as UCS tone letter sequences	Peter Constable; SC2/WG2 N2312	2001-01-08
L2/01-026	CJK Ext.B – Pre-DIS (R1) for ISO/IEC 10646-2; (Word version of L2/01-026)	SC2/WG2 N2298; IRG 758	2000-11-21
L2/01-027	Super CJK Version 11.1; with Kangxi and HYD data for CJK Ext.B – Pre-DIS (R1) for ISO/IEC 10646-2	SC2/WG2 N2299; IRG 759	2000-11-21
L2/01-028	Revised version of the CLAUI recommendations from Sophia (France)	JTC1 N6336; CLAUI	2000-11-09
L2/01-029	Roadmap of ISO/IEC 10646-1:2000 – Plane 0, BMP; (replaces L2/00-366)	Roadmap ad hoc; SC2/WG2 N2316	2001-01-09
L2/01-030	Roadmap of ISO/IEC 10646-2 – Plane 1, SMP	Roadmap ad hoc; SC2/WG2 N2314	2001-01-09
L2/01-031	Report from the IRG meeting in Seoul,; December 4-7, 2000	John Jenkins	2001-01-15
L2/01-032	Liaison from IETF to Unicode regarding permanent references in RFCs	Patrik Fältström	2001-01-16
L2/01-033	Proposal to disunify braces/brackets for math, computing science, and Z notation from similar-looking CJK braces/brackets	Kent Karlsson; (Asmus Freytag)	2001-01-16
